round_epochs,val_loss,val_mean_absolute_error,val_mean_squared_error,loss,mean_absolute_error,mean_squared_error,first_neuron,activation,optimizer,losses,hidden_layers,batch_size,epochs,dropout,kernel_initializer,lr,last_activation
50,18.168154648372106,4.0553761294909885,18.168154648372106,19.82141849213997,4.188221378664,19.82141849213997,8,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,0,10,50,0.001,normal,0.01,linear
50,17.277693237577164,3.94269460439682,17.277693237577164,18.360483329907982,4.0101848471481185,18.360483329907982,8,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,1,10,50,0.1,uniform,0.1,linear
50,17.73301410675049,4.0013285875320435,17.73301410675049,19.383723689391548,4.135738883398275,19.383723689391548,4,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,2,20,50,0.001,uniform,0.1,linear
20,18.16628783089774,4.055139592715672,18.16628783089774,19.834619657128258,4.1886512663512105,19.834619657128258,4,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,1,20,20,0.2,normal,0.01,linear
50,18.183047907693044,4.057138025760651,18.183047907693044,19.857530332244604,4.192545205090953,19.857530332244604,8,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,1,10,50,0.1,uniform,0.01,linear
500,17.843862669808523,4.015161326953343,17.843862669808523,19.462601687000916,4.144384147846593,19.462601687000916,4,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,2,10,500,0.2,normal,0.001,linear
300,8.97874287196568,2.6313232524054393,8.97874287196568,6.123789939205204,2.0682235112232443,6.123789939205204,16,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,0,20,300,0.1,uniform,0.1,linear
300,18.008238792419434,4.035602177892413,18.008238792419434,19.67838641816536,4.171288334162889,19.67838641816536,2,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,2,20,300,0.2,normal,0.001,linear
20,18.327529498508998,4.074952278818403,18.327529498508998,20.01022872249637,4.211008202713148,20.01022872249637,2,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,1,20,20,0.2,normal,0.01,linear
500,9.240201217787606,2.683532638209207,9.240201217787606,5.4878869183295595,1.770235690395389,5.4878869183295595,2,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,0,10,500,0.001,uniform,0.1,linear
20,18.649895940508163,4.114328980445862,18.649895940508163,20.358241427261216,4.2517213483827305,20.358241427261216,8,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,2,20,20,0.001,uniform,0.001,linear
50,18.249463762555802,4.065380675452096,18.249463762555802,19.94017290436061,4.202268836772547,19.94017290436061,16,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,0,20,50,0.1,uniform,0.001,linear
300,18.237100873674667,4.063815185001919,18.237100873674667,19.91104144543673,4.198914819059119,19.91104144543673,16,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,1,40,300,0.001,uniform,0.001,linear
20,18.282186576298304,4.069379968302591,18.282186576298304,19.972378140002224,4.205245281742737,19.972378140002224,8,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,2,10,20,0.1,uniform,0.001,linear
300,18.905576910291398,4.145218534129007,18.905576910291398,20.535428899579344,4.272706090876486,20.535428899579344,4,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,0,10,300,0.2,normal,0.001,linear
100,14.768523114068168,3.610792406967708,14.768523114068168,15.82575249882926,3.6838449355775276,15.82575249882926,8,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,2,10,100,0.2,normal,0.1,linear
100,18.565501485552108,4.104019709995815,18.565501485552108,20.239661073262713,4.237722202739884,20.239661073262713,4,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,1,20,100,0.1,normal,0.001,linear
50,18.181801387241908,4.056981222970145,18.181801387241908,19.845260029345486,4.191009361132056,19.845260029345486,8,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,2,20,50,0.2,normal,0.01,linear
